experiment,method,delta_ratio,trial,hausdorff,status,predicted_num_chgpts,estimated_changepoints,true_changepoints
M2,WERM,7.5,11,0.0006666666666666666,ok,2,"601,1050","600,1050"
M2,WERM,7.5,12,0.0013333333333333333,ok,2,"598,1052","600,1050"
M2,WERM,7.5,13,0.004,ok,2,"606,1049","600,1050"
M2,WERM,7.5,14,0.008,ok,2,"600,1038","600,1050"
M2,WERM,7.5,15,0.002,ok,2,"598,1053","600,1050"
M2,WERM,7.5,16,0.0013333333333333333,ok,2,"599,1048","600,1050"
M2,WERM,7.5,17,0.0013333333333333333,ok,2,"602,1051","600,1050"
M2,WERM,7.5,18,0.0006666666666666666,ok,2,"600,1049","600,1050"
M2,WERM,7.5,19,0.0013333333333333333,ok,2,"598,1050","600,1050"
M2,WERM,7.5,20,0.0013333333333333333,ok,2,"601,1048","600,1050"
M2,WERM,7.5,21,0.006,ok,2,"609,1046","600,1050"
M2,WERM,7.5,22,0.0013333333333333333,ok,2,"602,1048","600,1050"
M2,WERM,7.5,23,0.022,ok,2,"603,1017","600,1050"
M2,WERM,7.5,24,0.0006666666666666666,ok,2,"599,1051","600,1050"
M2,WERM,7.5,25,0.0026666666666666666,ok,2,"604,1049","600,1050"
M2,WERM,7.5,26,0.008666666666666666,ok,2,"600,1037","600,1050"
M2,WERM,7.5,27,0.005333333333333333,ok,2,"600,1042","600,1050"
M2,WERM,7.5,28,0.0026666666666666666,ok,2,"598,1046","600,1050"
M2,WERM,7.5,29,0.0,ok,2,"600,1050","600,1050"
M2,WERM,8.5,0,0.008823529411764706,ok,2,"681,1175","680,1190"
M2,WERM,8.5,1,0.0017647058823529412,ok,2,"682,1193","680,1190"
M2,WERM,8.5,2,0.000588235294117647,ok,2,"681,1190","680,1190"
M2,WERM,8.5,3,0.029411764705882353,ok,2,"680,1140","680,1190"
M2,WERM,8.5,4,0.0058823529411764705,ok,2,"678,1200","680,1190"
M2,WERM,8.5,5,0.0,ok,2,"680,1190","680,1190"
M2,WERM,8.5,6,0.0029411764705882353,ok,2,"679,1185","680,1190"
M2,WERM,8.5,7,0.0017647058823529412,ok,2,"677,1187","680,1190"
M2,WERM,8.5,8,0.002352941176470588,ok,2,"678,1194","680,1190"
M2,WERM,8.5,9,0.004705882352941176,ok,2,"680,1182","680,1190"
M2,WERM,8.5,10,0.002352941176470588,ok,2,"684,1193","680,1190"
M2,WERM,8.5,11,0.005294117647058823,ok,2,"689,1185","680,1190"
M2,WERM,8.5,12,0.000588235294117647,ok,2,"680,1191","680,1190"
M2,WERM,8.5,13,0.008823529411764706,ok,2,"680,1175","680,1190"
M2,WERM,8.5,14,0.002352941176470588,ok,2,"682,1194","680,1190"
M2,WERM,8.5,15,0.004705882352941176,ok,2,"684,1182","680,1190"
M2,WERM,8.5,16,0.0,ok,2,"680,1190","680,1190"
